Unnamed: 0,Year,State,Never smoked,Smokers
709,2001,Arizona,0.53,0.47
710,1997,Michigan,0.489,0.511
711,1995,Illinois,0.534,0.466
712,2005,North Dakota,0.544,0.456
713,2010,Washington,0.593,0.407
714,2008,Michigan,0.541,0.459
715,1995,Texas,0.528,0.472
716,2007,Ohio,0.521,0.479
717,2010,Georgia,0.593,0.407
718,2005,Oklahoma,0.509,0.491
719,2002,South Dakota,0.55,0.45
720,1998,Ohio,0.503,0.4970000000000001
721,2003,Nevada,0.4970000000000001,0.503
722,2002,Mississippi,0.527,0.473
723,1995,Michigan,0.462,0.5379999999999999
724,2006,Washington,0.5660000000000001,0.434
725,2007,Oregon,0.5489999999999999,0.451
726,2007,Texas,0.6,0.4
727,2000,Oklahoma,0.574,0.426
728,2009,South Carolina,0.552,0.448
729,1996,South Dakota,0.541,0.459
730,2009,New Hampshire,0.5489999999999999,0.451
731,2009,Wisconsin,0.5429999999999999,0.457
732,2000,West Virginia,0.485,0.515
733,2006,Kentucky,0.472,0.528
734,2008,South Carolina,0.547,0.453
735,2006,California,0.608,0.392
736,2003,Maine,0.452,0.5479999999999999
737,1997,Kentucky,0.458,0.542
738,2008,Washington,0.5760000000000001,0.424
739,1995,Tennessee,0.541,0.459
740,1997,Utah,0.69,0.31
741,2003,Kansas,0.5660000000000001,0.434
742,1998,Kansas,0.5710000000000001,0.429
743,1997,Delaware,0.469,0.531
744,2006,New Jersey,0.579,0.421
745,2001,Virginia,0.528,0.472
746,1997,North Dakota,0.5329999999999999,0.467
747,1998,Idaho,0.546,0.454
748,2005,Kentucky,0.473,0.527
749,1996,South Carolina,0.5529999999999999,0.447
750,2005,Virginia,0.552,0.448
751,2009,Nevada,0.514,0.486
752,1998,South Dakota,0.524,0.476
753,2002,New York,0.527,0.473
754,2002,Rhode Island,0.48,0.52
755,1996,District of Columbia,0.617,0.383
756,2001,South Carolina,0.526,0.474
757,2007,Florida,0.545,0.455
758,2000,Nebraska,0.545,0.455
759,2001,Georgia,0.551,0.449
760,1998,"Nationwide (States, DC, and Territories)",0.522,0.478
761,1996,Rhode Island,0.504,0.496
762,2005,Arkansas,0.516,0.484
763,1995,North Carolina,0.516,0.484
764,2007,Mississippi,0.5479999999999999,0.452
765,1999,Delaware,0.506,0.494
766,2004,Louisiana,0.565,0.435
767,2003,New York,0.53,0.47
768,1995,California,0.5670000000000001,0.433
769,2005,Idaho,0.593,0.407
770,2002,Kentucky,0.455,0.545
771,2010,Nebraska,0.5760000000000001,0.424
772,2009,Montana,0.568,0.4320000000000001
773,2009,Oregon,0.545,0.455
774,2002,Louisiana,0.57,0.43
775,2008,New Jersey,0.609,0.391
776,1997,West Virginia,0.482,0.518
777,2001,Texas,0.569,0.431
778,2007,Vermont,0.517,0.483
779,1999,New Hampshire,0.487,0.513
780,1998,Kentucky,0.463,0.537
781,2006,Florida,0.529,0.471
782,2000,Colorado,0.5379999999999999,0.462
783,2007,Wisconsin,0.545,0.455
784,2008,New Mexico,0.557,0.443
785,1998,Louisiana,0.547,0.453
786,2002,Texas,0.562,0.438
787,2004,South Dakota,0.56,0.44
788,1998,Iowa,0.53,0.47
789,2003,Alaska,0.477,0.523
790,2002,New Hampshire,0.466,0.534
791,2002,District of Columbia,0.5920000000000001,0.408
792,2010,North Dakota,0.586,0.414
793,2005,Maryland,0.583,0.417
794,2000,Vermont,0.485,0.515
795,2005,Florida,0.516,0.484
796,2002,Wisconsin,0.494,0.506
797,2001,New Hampshire,0.471,0.529
798,2001,Pennsylvania,0.513,0.487
799,2010,District of Columbia,0.61,0.39
800,2000,Maryland,0.56,0.44
801,2007,Wyoming,0.531,0.469
802,1996,Kansas,0.584,0.416
803,1999,Maine,0.472,0.528
804,1997,Kansas,0.58,0.42
805,2010,South Dakota,0.5760000000000001,0.424
806,1996,New Hampshire,0.461,0.539
807,2000,Montana,0.514,0.486
808,2004,Idaho,0.5920000000000001,0.408
809,1996,Indiana,0.476,0.524
810,2006,Alabama,0.535,0.465
811,2006,Idaho,0.602,0.398
812,1999,New Jersey,0.581,0.419
813,2010,Mississippi,0.55,0.45
814,2001,Ohio,0.49,0.51
815,2007,Connecticut,0.541,0.459
816,2001,Nevada,0.469,0.531
817,2000,New Mexico,0.506,0.494
818,2010,Montana,0.54,0.46
819,1999,Mississippi,0.568,0.4320000000000001
820,2006,Maine,0.487,0.513
821,2005,Utah,0.725,0.275
822,2006,Georgia,0.588,0.412
823,2010,Kentucky,0.4920000000000001,0.508
824,1997,Minnesota,0.557,0.443
825,1999,Alaska,0.47,0.53
826,2010,Maryland,0.609,0.391
827,2007,Minnesota,0.5589999999999999,0.441
828,1998,Alaska,0.484,0.516
829,1996,Hawaii,0.537,0.463
830,2002,Oklahoma,0.516,0.484
831,2005,Wyoming,0.519,0.481
832,2002,Pennsylvania,0.4970000000000001,0.503
833,1997,Arizona,0.653,0.34700000000000003
834,2009,West Virginia,0.499,0.501
835,2008,West Virginia,0.481,0.519
836,2003,Michigan,0.481,0.519
837,2009,Connecticut,0.563,0.4370000000000001
838,1998,District of Columbia,0.613,0.387
839,2007,California,0.628,0.3720000000000001
840,2006,Vermont,0.511,0.489
841,2010,"Nationwide (States, DC, and Territories)",0.568,0.4320000000000001
842,2010,Nationwide (States and DC),0.5660000000000001,0.434
843,2009,"Nationwide (States, DC, and Territories)",0.555,0.445
844,2009,Nationwide (States and DC),0.5529999999999999,0.447
845,2008,"Nationwide (States, DC, and Territories)",0.555,0.445
846,2008,Nationwide (States and DC),0.5539999999999999,0.446
847,2007,"Nationwide (States, DC, and Territories)",0.5489999999999999,0.451
848,2007,Nationwide (States and DC),0.5479999999999999,0.452
849,2006,"Nationwide (States, DC, and Territories)",0.545,0.455
850,2006,Nationwide (States and DC),0.5429999999999999,0.457
851,2005,"Nationwide (States, DC, and Territories)",0.541,0.459
852,2005,Nationwide (States and DC),0.54,0.46
853,2004,"Nationwide (States, DC, and Territories)",0.55,0.45
854,2004,Nationwide (States and DC),0.546,0.454
855,2003,"Nationwide (States, DC, and Territories)",0.521,0.479
856,2003,Nationwide (States and DC),0.52,0.48
857,2002,"Nationwide (States, DC, and Territories)",0.523,0.477
858,2002,Nationwide (States and DC),0.52,0.48
859,2001,"Nationwide (States, DC, and Territories)",0.518,0.482
860,2001,Nationwide (States and DC),0.513,0.487
861,2000,"Nationwide (States, DC, and Territories)",0.526,0.474
862,2000,Nationwide (States and DC),0.523,0.477
863,1999,"Nationwide (States, DC, and Territories)",0.525,0.475
864,1999,Nationwide (States and DC),0.524,0.476
865,1998,Nationwide (States and DC),0.52,0.48
866,1997,"Nationwide (States, DC, and Territories)",0.521,0.479
867,1997,Nationwide (States and DC),0.519,0.481
868,1996,"Nationwide (States, DC, and Territories)",0.522,0.478
869,1996,Nationwide (States and DC),0.52,0.48
870,1995,"Nationwide (States, DC, and Territories)",0.516,0.484
871,1995,Nationwide (States and DC),0.516,0.484
872,2010,Guam,0.5760000000000001,0.424
873,2009,Guam,0.648,0.35200000000000004
874,2010,Virgin Islands,0.8370000000000001,0.16299999999999998
875,2009,Virgin Islands,0.825,0.175
